release_date,title,budget,revenue
1915-02-08,The Birth of a Nation,100000.0,11000000.0
1915-12-13,The Cheat,17311.0,137365.0
1916-12-24,"20,000 Leagues Under the Sea",200000.0,8000000.0
1918-08-01,Mickey,250000.0,8000000.0
1921-01-21,The Kid,250000.0,2500000.0
1922-01-11,Foolish Wives,1100000.0,400200.0
1924-03-18,The Thief of Bagdad,1135654.0,1213880.0
1925-06-25,The Gold Rush,923000.0,2500000.0
1925-08-26,The Merry Widow,592.0,1.0
1925-09-16,The Unholy Three,103000.0,704000.0
1925-11-05,The Big Parade,245000.0,22000000.0
1925-12-30,Ben-Hur: A Tale of the Christ,3900000.0,9000000.0
1926-05-14,Sparrows,463455.0,966878.0
1926-12-25,Flesh and the Devil,373000.0,658000.0
1927-01-10,Metropolis,92620000.0,650422.0
1927-10-31,My Best Girl,483103.0,1027757.0
1928-04-07,Across to Singapore,290000.0,596000.0
1928-07-18,Lights of New York,75000.0,1200000.0
1928-08-04,The Mysterious Lady,337.0,551.0
1928-11-24,West of Zanzibar,259000.0,921000.0
1929-02-08,The Broadway Melody,379000.0,4358000.0
1930-11-15,Hell's Angels,3950000.0,8000000.0
1931-01-30,City Lights,1500000.0,19181.0
1931-02-12,Dracula,355000.0,1012189.0
1931-11-21,Frankenstein,291000.0,12000000.0
1931-12-26,Mata Hari,558000.0,2227000.0
1932-05-25,Grand Hotel,700000.0,2594000.0
1932-12-08,A Farewell to Arms,4.0,25.0
1932-12-08,A Farewell to Arms,4.0,25.0
1933-02-02,42nd Street,439000.0,2281000.0
1933-02-08,Cavalcade,1180280.0,7630000.0
1933-02-09,She Done Him Wrong,200000.0,2200000.0
1933-04-07,King Kong,672000.0,10000000.0
1933-10-06,I'm No Angel,225000.0,2850000.0
1933-12-26,Queen Christina,1114000.0,2610000.0
1934-02-22,It Happened One Night,325000.0,4500000.0
1934-05-25,The Thin Man,226408.0,1423000.0
1934-11-23,The Painted Veil,947000.0,1120000.0
1935-04-19,Star of Midnight,280.0,831.0
1935-05-09,The Informer,243000.0,950000.0
1935-08-30,Anna Karenina,1152000.0,1439000.0
1935-09-06,Top Hat,609000.0,3202000.0
1935-11-08,Mutiny on the Bounty,1950000.0,4460000.0
1936-02-05,Modern Times,1.0,8500000.0
1936-06-26,San Francisco,1300000.0,5273000.0
1936-08-27,Swing Time,886000.0,2600000.0
1936-08-28,Mary of Scotland,864000.0,1276000.0
1936-08-28,The Gorgeous Hussy,1119000.0,2019000.0
1936-10-20,The Charge of the Light Brigade,1200000.0,2736000.0
1937-12-20,Snow White and the Seven Dwarfs,1488423.0,184925486.0
1938-05-13,The Adventures of Robin Hood,2033000.0,3981000.0
1938-05-24,Alexander's Ragtime Band,2000000.0,4000000.0
